system_slug,system_name,source_short_title,subject_name,subject_kind,relation_slug,relation_label,object_name,object_kind,source_full_title,source_edition,subject_aliases,source_locator
crowley777,Crowley 777,777,Netzach,sephirah,planetary_attribution,Planet,Venus,planet,777 and Other Qabalistic Writings,prototype,נצח,"Table I, row Netzach"
crowley777,Crowley 777,777,Venus,planet,color_of,Color,Emerald Green,color,777 and Other Qabalistic Writings,prototype,Aphrodite,Prototype row for Venus
crowley777,Crowley 777,777,Venus,planet,metal_of,Metal,Copper,metal,777 and Other Qabalistic Writings,prototype,,Prototype row for Venus
crowley777,Crowley 777,777,Venus,planet,angel_of,Angel,Haniel,angel,777 and Other Qabalistic Writings,prototype,,Prototype row for Venus
crowley777,Crowley 777,777,Venus,planet,deity_of,Deity,Aphrodite,deity,777 and Other Qabalistic Writings,prototype,,Prototype row for Venus
crowley777,Crowley 777,777,Venus,planet,perfume_of,Perfume,Rose,perfume,777 and Other Qabalistic Writings,prototype,,Prototype row for Venus
crowley777,Crowley 777,777,Venus,planet,stone_of,Stone,Emerald,stone,777 and Other Qabalistic Writings,prototype,,Prototype row for Venus
crowley777,Crowley 777,777,Venus,planet,day_of,Day,Friday,day,777 and Other Qabalistic Writings,prototype,,Prototype row for Venus
crowley777,Crowley 777,777,Venus,planet,number_of,Number,7,number,777 and Other Qabalistic Writings,prototype,,Prototype row for Venus
crowley777,Crowley 777,777,Venus,planet,plant_of,Plant,Myrtle,plant,777 and Other Qabalistic Writings,prototype,,Prototype row for Venus
